,entity,incoming_domestic_amount_30,incoming_domestic_amount_60,incoming_domestic_amount_90,outgoing_domestic_amount_30,outgoing_domestic_amount_60,outgoing_domestic_amount_90,incoming_foreign_amount_30,incoming_foreign_amount_60,incoming_foreign_amount_90,outgoing_foreign_amount_30,outgoing_foreign_amount_60,outgoing_foreign_amount_90,incoming_domestic_count_30,incoming_domestic_count_60,incoming_domestic_count_90,outgoing_domestic_count_30,outgoing_domestic_count_60,outgoing_domestic_count_90,incoming_foreign_count_30,incoming_foreign_count_60,incoming_foreign_count_90,outgoing_foreign_count_30,outgoing_foreign_count_60,outgoing_foreign_count_90,balance_difference_30,balance_difference_60,balance_difference_90,isFraud
64,C557041912,3006411.81,3401943.92,3401943.92,1796676.9100000001,2393178.0100000002,2393178.0100000002,50738.94,393563.78,393563.78,0.0,0.0,0.0,25,27,27,12,15,15,1,2,2,0,0,0,0.0,0.0,0.0,0
65,C269892014,0.0,0.0,0.0,44443.08,44443.08,44443.08,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-44443.08,-44443.08,-44443.08,0
66,C489411441,0.0,0.0,0.0,105979.34,105979.34,105979.34,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-105979.34,-105979.34,-105979.34,0
67,C25936709,0.0,0.0,0.0,19162.08,19162.08,19162.08,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-19162.08,-19162.08,-19162.08,0
68,C885951223,3342760.1100000003,4176417.440000001,4176417.440000001,2640491.54,2640491.54,2640491.54,6671276.709999999,6831056.849999999,6831056.849999999,2589941.66,2664402.3800000004,2664402.3800000004,18,24,24,15,15,15,8,9,9,3,4,4,0.0,0.0,0.0,0
69,C1123559518,0.0,0.0,0.0,220691.42,220691.42,220691.42,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-220691.42,-220691.42,-220691.42,0
70,C1760219993,0.0,0.0,0.0,190445.51,190445.51,190445.51,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-190445.51,-190445.51,-190445.51,0
71,C1360767589,6437960.909999998,6901021.309999999,6901021.309999999,3477842.93,3477842.93,3477842.93,15417467.280000001,15417467.280000001,15417467.280000001,6338895.640000001,6338895.640000001,6338895.640000001,34,37,37,22,22,22,14,14,14,8,8,8,0.0,0.0,0.0,0
72,C403547747,0.0,0.0,0.0,112086.81,112086.81,112086.81,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-112086.81,-112086.81,-112086.81,0
73,C1531333864,3961758.8400000003,4993371.630000001,4993371.630000001,4205830.37,4205830.37,4205830.37,2219019.4499999997,2219019.4499999997,2219019.4499999997,6116456.88,6116456.88,6116456.88,22,28,28,16,16,16,4,4,4,7,7,7,0.0,0.0,0.0,0
74,C873309260,0.0,0.0,0.0,151829.91,151829.91,151829.91,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-151829.91,-151829.91,-151829.91,0
75,C923083575,0.0,0.0,0.0,3146.16,3146.16,3146.16,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-3146.16,-3146.16,-3146.16,0
76,C1504109395,5580233.9399999995,6503558.17,6503558.17,5455206.5600000005,5791742.1000000015,5791742.1000000015,3428117.54,3428117.54,3428117.54,6848992.04,6848992.04,6848992.04,27,30,30,24,27,27,4,4,4,8,8,8,0.0,0.0,0.0,0
77,C589363823,0.0,0.0,0.0,296752.75,296752.75,296752.75,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-296752.75,-296752.75,-296752.75,0
78,C2052457859,0.0,0.0,0.0,191702.06,191702.06,191702.06,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-191702.06,-191702.06,-191702.06,0
79,C1299327689,0.0,0.0,0.0,365510.05,365510.05,365510.05,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-365510.05,-365510.05,-365510.05,0
80,C1408279755,0.0,0.0,0.0,202332.08,202332.08,202332.08,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-202332.08,-202332.08,-202332.08,0
81,C2007486296,0.0,0.0,0.0,55105.9,55105.9,55105.9,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-55105.9,-55105.9,-55105.9,0
82,C1634723627,0.0,0.0,0.0,178439.26,178439.26,178439.26,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-178439.26,-178439.26,-178439.26,0
83,C938463537,0.0,0.0,0.0,88834.86,88834.86,88834.86,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-88834.86,-88834.86,-88834.86,0
84,C2121995675,0.0,0.0,0.0,210370.09,210370.09,210370.09,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-210370.09,-210370.09,-210370.09,0
85,C1620409359,0.0,0.0,0.0,82691.56,82691.56,82691.56,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-82691.56,-82691.56,-82691.56,0
86,C691691381,0.0,0.0,0.0,338767.1,338767.1,338767.1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-338767.1,-338767.1,-338767.1,0
87,C264978436,0.0,0.0,0.0,187728.59,187728.59,187728.59,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-187728.59,-187728.59,-187728.59,0
88,C500618423,0.0,0.0,0.0,271002.7,271002.7,271002.7,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-271002.7,-271002.7,-271002.7,0
89,C1458091526,0.0,0.0,0.0,323105.08,323105.08,323105.08,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-323105.08,-323105.08,-323105.08,0
90,C307488715,0.0,0.0,0.0,73464.06,73464.06,73464.06,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-73464.06,-73464.06,-73464.06,0
91,C1789550256,5927827.66,5927827.66,5927827.66,7201294.700000002,7873284.310000002,7873284.310000002,6654007.38,8218837.17,8218837.17,5363908.31,5839537.8,5839537.8,25,25,25,28,32,32,8,9,9,5,6,6,0.0,0.0,0.0,0
92,C1640612861,0.0,0.0,0.0,503333.79,503333.79,503333.79,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-503333.79,-503333.79,-503333.79,0
93,C990679445,0.0,0.0,0.0,71991.42,71991.42,71991.42,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-71991.42,-71991.42,-71991.42,0
94,C746280996,0.0,0.0,0.0,26759.05,26759.05,26759.05,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-26759.05,-26759.05,-26759.05,0
95,C50503805,0.0,0.0,0.0,128487.35,128487.35,128487.35,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-128487.35,-128487.35,-128487.35,0
96,C1557989809,0.0,0.0,0.0,252908.87,252908.87,252908.87,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-252908.87,-252908.87,-252908.87,0
97,C146874094,0.0,0.0,0.0,64489.64,64489.64,64489.64,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-64489.64,-64489.64,-64489.64,0
98,C2123222442,0.0,0.0,0.0,171369.73,171369.73,171369.73,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-171369.73,-171369.73,-171369.73,0
99,C1278002745,0.0,0.0,0.0,4497.87,4497.87,4497.87,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-4497.869999999995,-4497.869999999995,-4497.869999999995,0
100,C510113906,4784261.989999999,5725913.239999999,5725913.239999999,1372846.3,1533276.17,1533276.17,2628721.49,2628721.49,2628721.49,938230.7400000001,3748877.67,3748877.67,23,26,26,7,8,8,4,4,4,3,5,5,0.0,0.0,0.0,0
101,C1389774257,0.0,0.0,0.0,12401.9,12401.9,12401.9,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-12401.9,-12401.9,-12401.9,0
102,C1096283470,1890681.0899999999,3623334.5700000003,3623334.5700000003,3234826.4400000004,3234826.4400000004,3234826.4400000004,5724623.52,7250061.899999999,7250061.899999999,1680378.5799999998,1680378.5799999998,1680378.5799999998,13,19,19,17,17,17,6,7,7,3,3,3,0.0,0.0,0.0,0
103,C201677908,0.0,0.0,0.0,0.0,0.0,0.0,480222.51,480222.51,480222.51,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,480222.51,480222.51,480222.51,0
104,C79290250,0.0,0.0,0.0,1393.46,1393.46,1393.46,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-1393.4600000000064,-1393.4600000000064,-1393.4600000000064,0
105,C1076835071,3607688.4699999993,4561540.969999999,4561540.969999999,2778484.2,2778484.2,2778484.2,3356838.43,3356838.43,3356838.43,2719451.5100000002,2719451.5100000002,2719451.5100000002,20,24,24,14,14,14,4,4,4,6,6,6,0.0,0.0,0.0,0
106,C1544614339,0.0,0.0,0.0,280877.92,280877.92,280877.92,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-280877.92,-280877.92,-280877.92,0
107,C1936550492,0.0,0.0,0.0,369989.2,369989.2,369989.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-369989.2,-369989.2,-369989.2,0
108,C2069500590,0.0,0.0,0.0,262392.36,262392.36,262392.36,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-262392.36,-262392.36,-262392.36,0
109,C452364286,0.0,0.0,0.0,202624.59,202624.59,202624.59,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-202624.59,-202624.59,-202624.59,0
110,C1957078537,0.0,0.0,0.0,498960.91,498960.91,498960.91,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-498960.91,-498960.91,-498960.91,0
111,C1514214932,0.0,0.0,0.0,691738.36,691738.36,691738.36,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-691738.36,-691738.36,-691738.36,0
112,C594858858,0.0,0.0,0.0,58820.08,58820.08,58820.08,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-58820.08,-58820.08,-58820.08,0
113,C1317375498,0.0,0.0,0.0,3428.95,3428.95,3428.95,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-3428.9500000000116,-3428.9500000000116,-3428.9500000000116,0
114,C425015667,0.0,0.0,0.0,12872.92,12872.92,12872.92,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-12872.92,-12872.92,-12872.92,0
115,C466505482,3336803.8000000003,4199807.15,4199807.15,982903.87,1186383.22,1186383.22,1191056.95,1191056.95,1191056.95,1400122.81,1400122.81,1400122.81,21,26,26,9,11,11,3,3,3,3,3,3,0.0,0.0,0.0,0
116,C201274566,0.0,0.0,0.0,4565.14,4565.14,4565.14,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-4565.139999999999,-4565.139999999999,-4565.139999999999,0
117,C1447353473,0.0,0.0,0.0,0.0,0.0,0.0,123179.97,123179.97,123179.97,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,123179.97,123179.97,123179.97,0
118,C1927963027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522264.81,522264.81,522264.81,0,0,0,0,0,0,0,0,0,1,1,1,-522264.81,-522264.81,-522264.81,0
