entity,incoming_domestic_amount_30,incoming_domestic_amount_60,incoming_domestic_amount_90,outgoing_domestic_amount_30,outgoing_domestic_amount_60,outgoing_domestic_amount_90,incoming_foreign_amount_30,incoming_foreign_amount_60,incoming_foreign_amount_90,outgoing_foreign_amount_30,outgoing_foreign_amount_60,outgoing_foreign_amount_90,incoming_domestic_count_30,incoming_domestic_count_60,incoming_domestic_count_90,outgoing_domestic_count_30,outgoing_domestic_count_60,outgoing_domestic_count_90,incoming_foreign_count_30,incoming_foreign_count_60,incoming_foreign_count_90,outgoing_foreign_count_30,outgoing_foreign_count_60,outgoing_foreign_count_90,balance_difference_30,balance_difference_60,balance_difference_90,fraudPrediction,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
C1096283470,1890681.09,3623334.57,3623334.57,3234826.4400000004,3234826.4400000004,3234826.4400000004,5724623.52,7250061.899999999,7250061.899999999,1680378.5799999998,1680378.5799999998,1680378.5799999998,13,19,19,17,17,17,6,7,7,3,3,3,0.0,0.0,0.0,1,1,CASH_OUT,12401.9,C1389774257,0.0,0.0,C1096283470,349763.0,0.0,1,0
C1568059495,3062810.08,3577290.52,3577290.52,1851910.39,3356923.3100000005,3356923.3100000005,314627.02,738829.89,738829.89,405925.87,405925.87,405925.87,26,28,28,12,17,17,1,2,2,2,2,2,0.0,0.0,0.0,1,1,CASH_IN,27070.11,C641882263,346803.59,373873.7,C1568059495,70595.0,122750.49,1,0
C2057394816,3020047.1,3335198.63,3335198.63,1695516.2200000002,1937579.8700000003,1937579.8700000003,1057380.12,1057380.12,1057380.12,3785876.19,4926969.7700000005,4926969.7700000005,17,19,19,13,17,17,3,3,3,4,5,5,0.0,0.0,0.0,1,6,CASH_IN,227478.35,C888942941,4546897.54,4774375.89,C2057394816,476750.34,249272.0,1,0
C620638596,3027112.52,3593086.83,3593086.83,3049175.55,3562368.16,3562368.16,4451955.33,5094701.07,5094701.07,0.0,2714920.72,2714920.72,15,18,18,14,17,17,4,5,5,0,1,1,0.0,0.0,0.0,1,8,CASH_OUT,20722.36,C1004270885,4653.47,0.0,C620638596,80018.0,2220757.82,1,0
C505528357,5277503.810000002,5468365.560000002,5468365.560000002,785106.39,1430107.49,1430107.49,908546.58,1518518.9899999998,1518518.9899999998,2000033.4,2000033.4,2000033.4,23,24,24,9,12,12,1,3,3,2,2,2,0.0,0.0,0.0,1,8,CASH_OUT,114457.5,C1604886708,30227.0,0.0,C505528357,0.0,159174.97,1,0
C766681183,14524986.550000004,14607524.560000002,14607524.560000002,4150423.1200000006,4302737.140000001,4302737.140000001,5452425.66,5452425.66,5452425.66,4200167.79,5196281.5600000005,5196281.5600000005,23,24,24,20,22,22,6,6,6,5,6,6,0.0,0.0,0.0,1,4,CASH_OUT,10000000.0,C351297720,10000000.0,0.0,C766681183,0.0,9941904.21,1,0
C1014154376,2264162.6900000004,3409898.97,3409898.97,2344974.4599999995,3047295.1899999995,3047295.1899999995,6846663.24,6846663.24,6846663.24,2907627.48,2907627.48,2907627.48,12,16,16,13,16,16,5,5,5,3,3,3,0.0,0.0,0.0,1,7,CASH_IN,66954.31,C1853413625,713722.12,780676.43,C1014154376,159047.0,14800000.0,1,0
C33524623,6402338.18,6639588.899999999,6639588.899999999,4688582.050000001,4962027.700000001,4962027.700000001,663779.49,663779.49,663779.49,5494144.17,5494144.17,5494144.17,27,28,28,22,24,24,3,3,3,9,9,9,0.0,0.0,0.0,1,1,CASH_OUT,419801.4,C1687354037,38197.63,0.0,C33524623,499962.0,1517262.16,1,0
C1540720037,4804698.45,6605723.24,6605723.24,1138387.86,1681376.4,1681376.4,1988554.6,2257304.75,2257304.75,3332267.8200000003,3332267.8200000003,3332267.8200000003,19,26,26,9,13,13,3,4,4,3,3,3,0.0,0.0,0.0,1,7,CASH_IN,199441.83,C934449015,1078715.17,1278156.99,C1540720037,793971.0,1159645.73,1,0
C891020651,5559798.420000001,6331423.930000001,6331423.930000001,2121260.96,2276178.64,2276178.64,7630468.090000001,9555047.49,9555047.49,3930887.34,3930887.34,3930887.34,20,23,23,8,9,9,6,7,7,4,4,4,0.0,0.0,0.0,1,7,CASH_IN,143860.77,C106629049,12249.0,156109.77,C891020651,16052.0,0.0,1,0
C1452722471,4494637.71,5480098.329999999,5480098.329999999,1926539.45,2019948.62,2019948.62,50570.65,50570.65,50570.65,6608860.23,6608860.23,6608860.23,23,28,28,11,12,12,1,1,1,4,4,4,0.0,0.0,0.0,1,4,CASH_IN,68827.52,C33238764,2983939.0,3052766.52,C1452722471,72236.0,3408.48,1,0
C1320515149,3811749.26,4310862.69,4310862.69,1437057.66,1437057.66,1437057.66,2066784.71,3158594.06,3158594.06,2929170.46,2929170.46,2929170.46,22,25,25,8,8,8,3,5,5,3,3,3,0.0,0.0,0.0,1,8,TRANSFER,322640.71,C124677188,72507.0,0.0,C1320515149,0.0,1643201.26,1,0
C728526866,4683848.130000001,5212924.050000002,5212924.050000002,4527094.42,5246315.98,5246315.98,4164420.87,4164420.87,4164420.87,4107998.86,5082661.090000001,5082661.090000001,21,25,25,17,20,20,7,7,7,4,7,7,0.0,0.0,0.0,1,4,CASH_IN,221970.49,C358636931,2983939.0,2983939.0,C728526866,2983939.0,6671931.33,1,0
C1234776885,7285208.319999998,7565930.229999999,7565930.229999999,5488044.209999999,5548011.049999999,5548011.049999999,1935198.71,1935198.71,1935198.71,8211901.24,8211901.24,8211901.24,34,35,35,26,27,27,4,4,4,6,6,6,0.0,0.0,0.0,1,1,TRANSFER,522264.81,C1927963027,24.0,0.0,C1234776885,11361.0,2025098.66,1,0
C716442925,3685878.2,3685878.2,3685878.2,2377396.6,2995594.59,2995594.59,6721272.619999999,6721272.619999999,6721272.619999999,5780269.33,5780269.33,5780269.33,17,17,17,16,19,19,6,6,6,6,6,6,0.0,0.0,0.0,1,7,TRANSFER,418477.87,C2138448723,41848.13,0.0,C716442925,1051.0,4271358.73,1,0
C219913687,2762452.3200000003,3235892.6900000004,3235892.6900000004,1787715.5,1945601.58,1945601.58,2841717.33,4318263.53,4318263.53,3372207.14,3372207.14,3372207.14,16,19,19,9,13,13,2,4,4,5,5,5,0.0,0.0,0.0,1,7,CASH_OUT,205811.8,C1512946355,195.0,0.0,C219913687,101808.0,858972.95,1,0
C982891593,5104913.949999999,6110774.96,6110774.96,2322917.07,2412551.73,2412551.73,2621577.3,3080204.73,3080204.73,809975.53,2049852.26,2049852.26,21,26,26,9,10,10,3,4,4,1,2,2,0.0,0.0,0.0,1,8,CASH_OUT,520867.95,C191156710,27836.0,0.0,C982891593,16302.0,537169.95,1,0
C481402298,4072346.039999999,4324586.499999999,4324586.499999999,4388911.780000001,4840790.530000001,4840790.530000001,5334310.12,6952732.18,6952732.18,4394161.42,4394161.42,4394161.42,21,24,24,19,21,21,6,7,7,8,8,8,0.0,0.0,0.0,1,1,TRANSFER,172867.65,C1107201631,0.0,0.0,C481402298,698572.0,330085.6,1,0
C1204684191,5810515.620000001,6464134.5600000005,6464134.5600000005,1554132.18,1672088.1,1672088.1,4885261.98,9619339.3,9619339.3,7419247.370000001,8078071.480000001,8078071.480000001,19,22,22,7,9,9,5,7,7,9,10,10,0.0,0.0,0.0,1,8,TRANSFER,1336715.58,C1003240711,9736.0,0.0,C1204684191,0.0,1734187.09,1,0
C1615804266,4581252.44,5290584.969999999,5290584.969999999,1847561.95,2048028.33,2048028.33,2131129.73,2131129.73,2131129.73,3451460.91,3992942.52,3992942.52,21,23,23,10,12,12,3,3,3,5,6,6,0.0,0.0,0.0,1,6,TRANSFER,102506.97,C914674368,14434.0,0.0,C1615804266,14472.0,116978.97,1,0
C1059781259,4133925.8700000006,5087021.960000001,5087021.960000001,2861593.3999999994,2861593.3999999994,2861593.3999999994,2796280.31,3915018.33,3915018.33,990468.5,990468.5,990468.5,17,22,22,13,13,13,2,3,3,3,3,3,0.0,0.0,0.0,1,7,CASH_IN,144711.18,C1353537061,1726235.45,1870946.63,C1059781259,11100000.0,10200000.0,1,0
C176203926,2233919.32,3590988.57,3590988.57,3405117.05,3405117.05,3405117.05,1353777.62,2668864.7800000003,2668864.7800000003,2000906.41,2000906.41,2000906.41,16,24,24,14,14,14,3,4,4,3,3,3,0.0,0.0,0.0,1,7,TRANSFER,41664.88,C187903706,123703.0,82038.12,C176203926,23132.0,0.0,1,0
C977993101,6486215.350000001,7038051.330000001,7038051.330000001,5257590.380000001,5368835.69,5368835.69,3506146.46,3506146.46,3506146.46,3037597.19,3037597.19,3037597.19,39,41,41,30,31,31,6,6,6,4,4,4,0.0,0.0,0.0,1,1,CASH_OUT,94253.33,C1718906711,25203.05,0.0,C977993101,99773.0,965870.05,1,0
C1459757869,4005783.74,4988435.619999999,4988435.619999999,1219316.56,1338038.2000000002,1338038.2000000002,3803745.5,4962923.92,4962923.92,4439204.399999999,5287460.64,5287460.64,18,22,22,5,8,8,5,6,6,4,5,5,0.0,0.0,0.0,1,7,CASH_OUT,93943.96,C1541639922,0.0,0.0,C1459757869,198348.0,4042386.17,1,0
C1891412311,4904347.04,5681870.930000001,5681870.930000001,1549842.92,1830332.71,1830332.71,803989.75,803989.75,803989.75,0.0,1023218.96,1023218.96,23,26,26,9,12,12,2,2,2,0,1,1,0.0,0.0,0.0,1,8,CASH_OUT,131058.89,C527217198,59474.0,0.0,C1891412311,551415.0,1416477.85,1,0
C801142660,6150117.590000001,7850496.240000001,7850496.240000001,2860162.86,2929169.46,2929169.46,12474035.229999997,14078818.099999998,14078818.099999998,2684509.62,2684509.62,2684509.62,25,32,32,14,15,15,11,12,12,3,3,3,0.0,0.0,0.0,1,1,TRANSFER,347391.16,C902654164,45584.0,0.0,C801142660,13993.0,637928.74,1,0
C914293025,4306751.639999999,4465736.319999999,4465736.319999999,3343310.26,3648839.66,3648839.66,3116151.81,4334992.92,4334992.92,5140000.33,5140000.33,5140000.33,21,23,23,16,17,17,5,6,6,6,6,6,0.0,0.0,0.0,1,2,CASH_OUT,170099.02,C1909367224,41945.71,0.0,C914293025,608063.0,778162.02,1,0
C662736689,2923108.61,3969816.96,3969816.96,4467613.66,5196869.84,5196869.84,6732987.869999999,7419321.659999999,7419321.659999999,4298298.33,4298298.33,4298298.33,22,27,27,21,23,23,7,8,8,6,6,6,0.0,0.0,0.0,1,1,DEBIT,5853.21,C2066892165,5039.0,0.0,C662736689,20018.0,4891090.56,1,0
C1313534832,5515065.339999999,6206531.149999999,6206531.149999999,1710231.71,2508225.76,2508225.76,3321125.91,3321125.91,3321125.91,5314946.13,5704478.96,5704478.96,26,29,29,9,12,12,4,4,4,4,5,5,0.0,0.0,0.0,1,7,CASH_OUT,209202.05,C1066026148,312873.0,103670.95,C1313534832,1390.2,1005781.48,1,0
C2094777811,4585933.69,5036877.0200000005,5036877.0200000005,3338193.45,4103872.98,4103872.98,10707235.75,10707235.75,10707235.75,1986449.11,1986449.11,1986449.11,23,25,25,17,20,20,5,5,5,2,2,2,0.0,0.0,0.0,1,1,TRANSFER,19772.53,C792488644,0.0,0.0,C2094777811,44486.99,64259.52,1,0
C885951223,3342760.1100000003,4176417.440000001,4176417.440000001,2640491.54,2640491.54,2640491.54,6671276.709999999,6831056.849999999,6831056.849999999,2589941.66,2664402.3800000004,2664402.3800000004,18,24,24,15,15,15,8,9,9,3,4,4,0.0,0.0,0.0,1,1,CASH_OUT,19162.08,C25936709,0.0,0.0,C885951223,60169.0,215851.28,1,0
C1481468605,3784207.78,4093188.76,4093188.76,1982468.97,2563566.26,2563566.26,1513620.14,4485047.35,4485047.35,2259188.28,2559092.68,2559092.68,19,20,20,11,14,14,2,3,3,3,4,4,0.0,0.0,0.0,1,8,CASH_OUT,56571.76,C1215538351,0.0,0.0,C1481468605,509319.0,861796.34,1,0
C1335946878,3581580.13,4020637.51,4020637.51,2483881.13,2687968.19,2687968.19,6817156.73,6817156.73,6817156.73,1788554.98,3021124.0700000003,3021124.0700000003,17,20,20,17,19,19,9,9,9,3,4,4,0.0,0.0,0.0,1,6,TRANSFER,391057.91,C1731036016,627.0,0.0,C1335946878,0.0,582433.46,1,0
C985934102,8088541.049999999,8272073.509999999,8272073.509999999,10080947.12,10080947.12,10080947.12,10528261.89,11235331.02,11235331.02,3019847.95,3180788.35,3180788.35,32,33,33,41,41,41,14,15,15,6,7,7,0.0,0.0,0.0,1,1,CASH_OUT,11648.5,C781091365,0.0,0.0,C985934102,260976.0,971418.91,1,0
C1092318644,4104486.51,4119992.000000001,4119992.000000001,1805774.82,2093781.22,2093781.22,6437125.24,6437125.24,6437125.24,1255013.84,1601075.73,1601075.73,18,19,19,8,10,10,9,9,9,2,3,3,0.0,0.0,0.0,1,7,TRANSFER,494533.55,C916514423,253.0,0.0,C1092318644,69337.0,2525331.77,1,0
C736709391,3953350.51,5295946.29,5295946.29,2594585.57,2594585.57,2594585.57,322841.0,322841.0,322841.0,723507.7,723507.7,723507.7,21,26,26,14,14,14,1,1,1,2,2,2,0.0,0.0,0.0,1,1,CASH_OUT,176149.9,C24650043,0.0,0.0,C736709391,259813.0,46820.71,1,0
C798678484,4126908.000000001,4566343.200000001,4566343.200000001,3182649.37,4024012.0,4024012.0,3507309.0,3507309.0,3507309.0,1724839.04,1724839.04,1724839.04,17,18,18,16,20,20,6,6,6,3,3,3,0.0,0.0,0.0,1,6,CASH_OUT,517419.65,C945213643,0.0,0.0,C798678484,747686.12,1270287.47,1,0
C1916720513,3460724.82,3729991.5099999993,3729991.5099999993,3781450.880000001,4580321.920000001,4580321.920000001,6480135.879999999,6480135.879999999,6480135.879999999,10921417.79,10921417.79,10921417.79,20,22,22,17,19,19,7,7,7,8,8,8,0.0,0.0,0.0,1,1,TRANSFER,94087.34,C1716855490,0.0,0.0,C1916720513,2905646.78,2906551.06,1,0
C128870695,4228262.83,4718425.83,4718425.83,2030314.26,2121529.12,2121529.12,3667173.57,3667173.57,3667173.57,7151526.470000001,7469210.370000001,7469210.370000001,18,22,22,11,12,12,2,2,2,8,9,9,0.0,0.0,0.0,1,7,TRANSFER,2102252.96,C1408974363,0.0,0.0,C128870695,10400000.0,14100000.0,1,0
C1481851679,3140744.2800000003,3563056.95,3563056.95,2091123.13,2920978.37,2920978.37,4986300.34,5637348.58,5637348.58,3326680.9800000004,3326680.9800000004,3326680.9800000004,16,19,19,11,13,13,4,5,5,4,4,4,0.0,0.0,0.0,1,8,CASH_OUT,23667.54,C1899114321,0.0,0.0,C1481851679,47778.0,1379576.69,1,0
C1446521801,3288396.79,3775275.34,3775275.34,4125680.34,4281977.579999999,4281977.579999999,8849162.19,8849162.19,8849162.19,8529348.549999999,8529348.549999999,8529348.549999999,14,16,16,19,20,20,6,6,6,7,7,7,0.0,0.0,0.0,1,3,CASH_IN,148620.65,C1974701110,1989555.83,1989555.83,C1446521801,1989555.83,6540346.28,1,0
C1531333864,3961758.84,4993371.630000001,4993371.630000001,4205830.37,4205830.37,4205830.37,2219019.45,2219019.45,2219019.45,6116456.88,6116456.88,6116456.88,22,28,28,16,16,16,4,4,4,7,7,7,0.0,0.0,0.0,1,1,CASH_OUT,112086.81,C403547747,0.0,0.0,C1531333864,292728.0,55974.56,1,0
C306206744,6120323.76,6347169.76,6347169.76,4369255.77,4935124.049999999,4935124.049999999,6044209.57,6044209.57,6044209.57,6972868.870000001,7004675.500000001,7004675.500000001,32,33,33,22,24,24,9,9,9,12,13,13,0.0,0.0,0.0,1,1,CASH_OUT,431381.17,C1076202543,40481.0,0.0,C306206744,55566.0,3554299.27,1,0
C1782113663,5637806.2,6662831.830000001,6662831.830000001,6737729.990000002,6737729.990000002,6737729.990000002,3145031.17,3145031.17,3145031.17,7793952.66,9725804.83,9725804.83,22,25,25,29,29,29,6,6,6,7,8,8,0.0,0.0,0.0,1,1,TRANSFER,621561.65,C82275756,123122.0,0.0,C1782113663,0.0,3997768.55,1,0
C310976964,2271266.4200000004,3425035.39,3425035.39,2124646.44,2354199.18,2354199.18,1641311.39,2052600.43,2052600.43,3282395.71,3282395.71,3282395.71,16,21,21,9,11,11,3,5,5,4,4,4,0.0,0.0,0.0,1,8,CASH_IN,81063.81,C2009511331,7355088.07,7436151.88,C310976964,156760.0,183041.94,1,0
C1325038895,6665795.209999999,7328831.579999999,7328831.579999999,2233922.9,2651170.56,2651170.56,777114.42,777114.42,777114.42,3349664.24,5523615.51,5523615.51,27,30,30,8,11,11,1,1,1,3,5,5,0.0,0.0,0.0,1,8,CASH_OUT,436457.92,C795713295,20953.0,0.0,C1325038895,0.0,1943673.08,1,0
C1162775738,4212335.11,5165738.170000001,5165738.170000001,3603299.01,3926717.05,3926717.05,1061698.4,1061698.4,1061698.4,3391370.2,4702787.26,4702787.26,19,24,24,13,15,15,2,2,2,5,7,7,0.0,0.0,0.0,1,8,CASH_IN,69474.57,C428530041,5385.0,74859.57,C1162775738,275.0,956238.13,1,0
C1728766751,5836414.130000001,5855970.620000001,5855970.620000001,2980917.04,2980917.04,2980917.04,2591867.88,4191561.74,4191561.74,7688626.930000001,7688626.930000001,7688626.930000001,26,28,28,13,13,13,5,6,6,6,6,6,0.0,0.0,0.0,1,7,TRANSFER,1123213.77,C87255309,20738.0,0.0,C1728766751,0.0,1033096.57,1,0
C373928166,3661687.69,4037357.59,4037357.59,1753044.69,2080921.06,2080921.06,849068.28,1111930.61,1111930.61,2510748.96,2510748.96,2510748.96,18,22,22,11,12,12,2,3,3,6,6,6,0.0,0.0,0.0,1,1,CASH_IN,9467.87,C1903051549,6071.0,15538.87,C373928166,0.0,0.0,1,0
C998351292,4074844.13,4591850.159999999,4591850.159999999,4786417.25,4804774.82,4804774.82,4073892.3,4365775.71,4365775.71,3035375.3700000006,3035375.3700000006,3035375.3700000006,26,29,29,19,20,20,6,7,7,7,7,7,0.0,0.0,0.0,1,1,DEBIT,996.0,C1839206329,46132.0,45136.0,C998351292,88106.55,1015132.48,1,0
C1860513229,3011689.71,3979490.98,3979490.98,2103514.88,2947778.7199999997,2947778.7199999997,956752.24,956752.24,956752.24,1921344.84,2256959.23,2256959.23,17,22,22,9,12,12,2,2,2,4,5,5,0.0,0.0,0.0,1,1,CASH_IN,63189.26,C95369743,8414890.75,8478080.0,C1860513229,101925.0,0.0,1,0
C20671747,4364736.220000001,5468739.780000001,5468739.780000001,1424699.5100000002,1737048.9800000004,1737048.9800000004,728013.42,1951430.31,1951430.31,1470119.4300000002,2670315.26,2670315.26,22,26,26,10,13,13,1,3,3,3,4,4,0.0,0.0,0.0,1,1,DEBIT,864.68,C1368862151,69836.0,68971.32,C20671747,12040.0,43691.09,1,0
C392292416,5491340.370000001,5527443.530000001,5527443.530000001,5357394.289999998,5908887.469999999,5908887.469999999,3332741.24,3345516.77,3345516.77,5884420.359999999,6607477.869999999,6607477.869999999,28,30,30,24,28,28,3,4,4,9,10,10,0.0,0.0,0.0,1,1,TRANSFER,125872.53,C1443967876,0.0,0.0,C392292416,348512.0,3420103.09,1,0
C638590716,3092038.07,3832621.0299999993,3832621.0299999993,2566665.850000001,3028694.3000000007,3028694.3000000007,5586359.299999999,5586359.299999999,5586359.299999999,4747808.86,4874804.82,4874804.82,15,18,18,9,12,12,7,7,7,6,7,7,0.0,0.0,0.0,1,6,TRANSFER,21437.62,C30784348,55634.0,34196.38,C638590716,27776.24,49213.86,1,0
C769342184,4750429.69,5281700.92,5281700.92,6474984.299999999,6609117.009999999,6609117.009999999,4653371.859999999,5419543.049999999,5419543.049999999,5696292.35,5696292.35,5696292.35,21,24,24,26,27,27,6,7,7,5,5,5,0.0,0.0,0.0,1,2,CASH_IN,188118.26,C1963590892,11100000.0,11100000.0,C769342184,11100000.0,12500000.0,1,0
C863811613,3817278.88,4141592.63,4141592.63,3779987.7,4229792.03,4229792.03,11735023.73,11735023.73,11735023.73,10133843.26,12375943.61,12375943.61,14,15,15,13,15,15,10,10,10,8,10,10,0.0,0.0,0.0,1,7,TRANSFER,905112.26,C1982708114,23316.0,0.0,C863811613,31091.0,1328510.04,1,0
C1570076320,5191532.609999999,5717780.489999999,5717780.489999999,3242523.5300000003,3655957.68,3655957.68,2484185.72,2484185.72,2484185.72,2085647.38,2085647.38,2085647.38,25,28,28,14,16,16,3,3,3,3,3,3,0.0,0.0,0.0,1,8,CASH_OUT,42838.86,C538899112,0.0,0.0,C1570076320,106042.0,1352815.49,1,0
C1058634310,2377590.0300000003,3367004.410000001,3367004.410000001,1927466.58,2560636.21,2560636.21,204248.13,945246.75,945246.75,2511714.4,2511714.4,2511714.4,14,19,19,11,14,14,3,4,4,5,5,5,0.0,0.0,0.0,1,1,TRANSFER,56145.85,C26357357,21528.0,0.0,C1058634310,5075.0,33008.44,1,0
C861720625,4229361.69,4325766.15,4325766.15,1460068.19,1902932.06,1902932.06,2862211.7,2862211.7,2862211.7,427546.76,1587203.2100000002,1587203.2100000002,24,26,26,6,8,8,4,4,4,2,4,4,0.0,0.0,0.0,1,7,CASH_OUT,154934.38,C548304840,9995.96,0.0,C861720625,206604.0,1752674.41,1,0
C932583850,8190249.950000001,8198915.990000001,8198915.990000001,4864266.490000001,4864266.490000001,4864266.490000001,3260837.4399999995,3260837.4399999995,3260837.4399999995,6710338.849999999,8355281.319999998,8355281.319999998,28,29,29,23,23,23,4,4,4,9,10,10,0.0,0.0,0.0,1,1,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,6267.0,2719172.89,1,0
C1778801068,2502982.26,3008517.24,3008517.24,4296332.25,4601930.89,4601930.89,6137200.67,6137200.67,6137200.67,1368005.65,3093720.07,3093720.07,15,16,16,23,25,25,6,6,6,2,3,3,0.0,0.0,0.0,1,1,DEBIT,891.93,C531373404,51467.0,50575.07,C1778801068,55432.0,8813776.61,1,0
C1919930418,4023700.52,4280683.5,4280683.5,2445900.91,2856867.53,2856867.53,0.0,0.0,0.0,1606620.1,3020233.75,3020233.75,21,24,24,9,11,11,0,0,0,3,6,6,0.0,0.0,0.0,1,9,CASH_OUT,38785.09,C2109683177,0.0,0.0,C1919930418,56492.0,358313.3,1,0
C465257140,3595920.27,3676226.1,3676226.1,2503889.51,2982873.78,2982873.78,928866.29,1520567.99,1520567.99,1644167.08,2031436.15,2031436.15,20,21,21,14,17,17,3,4,4,3,5,5,0.0,0.0,0.0,1,7,CASH_OUT,191484.93,C1732238376,0.0,0.0,C465257140,223361.33,1078685.56,1,0
C814900611,3274982.82,3487375.7299999995,3487375.7299999995,2458369.9600000004,2815733.25,2815733.25,7443166.1000000015,7443166.1000000015,7443166.1000000015,4231635.13,4231635.13,4231635.13,13,14,14,13,15,15,8,8,8,5,5,5,0.0,0.0,0.0,1,7,TRANSFER,768235.45,C178759475,402186.0,0.0,C814900611,11638.0,4893599.98,1,0
C1945802665,2919309.32,3477337.6300000004,3477337.6300000004,2635481.42,2913134.0500000003,2913134.0500000003,3764745.1,4197525.68,4197525.68,1817676.05,1817676.05,1817676.05,15,18,18,12,14,14,7,8,8,3,3,3,0.0,0.0,0.0,1,7,TRANSFER,86005.87,C848779808,19834.0,0.0,C1945802665,206872.0,1471945.15,1,0
C1827996167,3045023.08,3771979.91,3771979.91,2272008.51,2690543.99,2690543.99,781351.1200000001,781351.1200000001,781351.1200000001,1032845.14,1032845.14,1032845.14,15,18,18,14,16,16,3,3,3,4,4,4,0.0,0.0,0.0,1,8,CASH_OUT,828.46,C788517632,0.0,0.0,C1827996167,10227.0,347511.7,1,0
